iter	Passed	Remaining
0	2	228
1	4	223
2	6	216
3	8	201
4	10	200
5	14	225
6	16	220
7	18	215
8	20	210
9	24	218
10	26	216
11	28	209
12	30	203
13	32	197
14	33	189
15	35	187
16	38	188
17	39	181
18	40	173
19	41	167
20	42	161
21	43	155
22	44	150
23	45	145
24	47	143
25	49	140
26	50	135
27	51	131
28	52	127
29	53	124
30	54	120
31	55	117
32	56	114
33	57	110
34	58	108
35	59	105
36	60	103
37	61	100
38	62	98
39	63	95
40	64	93
41	65	90
42	66	87
43	67	85
44	68	83
45	68	80
46	71	80
47	72	78
48	73	76
49	73	73
50	74	71
51	75	70
52	77	68
53	78	66
54	78	64
55	79	62
56	80	60
57	82	59
58	83	58
59	84	56
60	85	54
61	87	53
62	88	51
63	89	50
64	89	48
65	90	46
66	91	44
67	92	43
68	92	41
69	93	40
70	94	38
71	96	37
72	98	36
73	98	34
74	99	33
75	100	31
76	100	30
77	101	28
78	102	27
79	103	25
80	104	24
81	104	23
82	105	21
83	106	20
84	107	18
85	109	17
86	110	16
87	110	15
88	111	13
89	112	12
90	113	11
91	113	9
92	114	8
93	115	7
94	115	6
95	116	4
96	117	3
97	118	2
98	118	1
99	120	0
